date_key,full_date,year,quarter,month,month_name,day_of_month,day_of_week,day_name,week_of_year,is_weekend,is_holiday
20230101,2023-01-01,2023,1,1,January,1,1,Sunday,1,TRUE,TRUE
20230102,2023-01-02,2023,1,1,January,2,2,Monday,1,FALSE,FALSE
20230103,2023-01-03,2023,1,1,January,3,3,Tuesday,1,FALSE,FALSE
20230104,2023-01-04,2023,1,1,January,4,4,Wednesday,1,FALSE,FALSE
20230105,2023-01-05,2023,1,1,January,5,5,Thursday,1,FALSE,FALSE
20230106,2023-01-06,2023,1,1,January,6,6,Friday,1,FALSE,FALSE
20230107,2023-01-07,2023,1,1,January,7,7,Saturday,1,TRUE,FALSE
20230108,2023-01-08,2023,1,1,January,8,1,Sunday,2,TRUE,FALSE
20230109,2023-01-09,2023,1,1,January,9,2,Monday,2,FALSE,FALSE
20230110,2023-01-10,2023,1,1,January,10,3,Tuesday,2,FALSE,FALSE
20230111,2023-01-11,2023,1,1,January,11,4,Wednesday,2,FALSE,FALSE
20230112,2023-01-12,2023,1,1,January,12,5,Thursday,2,FALSE,FALSE
20230113,2023-01-13,2023,1,1,January,13,6,Friday,2,FALSE,FALSE
20230114,2023-01-14,2023,1,1,January,14,7,Saturday,2,TRUE,FALSE
20230115,2023-01-15,2023,1,1,January,15,1,Sunday,3,TRUE,FALSE
20230201,2023-02-01,2023,1,2,February,1,4,Wednesday,5,FALSE,FALSE
20230202,2023-02-02,2023,1,2,February,2,5,Thursday,5,FALSE,FALSE
20230214,2023-02-14,2023,1,2,February,14,3,Tuesday,7,FALSE,TRUE
20230301,2023-03-01,2023,1,3,March,1,4,Wednesday,9,FALSE,FALSE
20230315,2023-03-15,2023,1,3,March,15,4,Wednesday,11,FALSE,FALSE
20230401,2023-04-01,2023,2,4,April,1,7,Saturday,13,TRUE,FALSE
20230410,2023-04-10,2023,2,4,April,10,2,Monday,15,FALSE,TRUE
20230501,2023-05-01,2023,2,5,May,1,2,Monday,18,FALSE,TRUE
20230514,2023-05-14,2023,2,5,May,14,1,Sunday,19,TRUE,FALSE
20230601,2023-06-01,2023,2,6,June,1,5,Thursday,22,FALSE,FALSE
20230615,2023-06-15,2023,2,6,June,15,5,Thursday,24,FALSE,FALSE
20230701,2023-07-01,2023,3,7,July,1,7,Saturday,26,TRUE,FALSE
20230704,2023-07-04,2023,3,7,July,4,3,Tuesday,27,FALSE,TRUE
20230801,2023-08-01,2023,3,8,August,1,3,Tuesday,31,FALSE,FALSE
20230815,2023-08-15,2023,3,8,August,15,3,Tuesday,33,FALSE,FALSE
20230901,2023-09-01,2023,3,9,September,1,6,Friday,35,FALSE,FALSE
20230915,2023-09-15,2023,3,9,September,15,6,Friday,37,FALSE,FALSE
20231001,2023-10-01,2023,4,10,October,1,1,Sunday,39,TRUE,FALSE
20231015,2023-10-15,2023,4,10,October,15,1,Sunday,41,TRUE,FALSE
20231031,2023-10-31,2023,4,10,October,31,3,Tuesday,44,FALSE,TRUE
20231101,2023-11-01,2023,4,11,November,1,4,Wednesday,44,FALSE,FALSE
20231115,2023-11-15,2023,4,11,November,15,4,Wednesday,46,FALSE,FALSE
20231123,2023-11-23,2023,4,11,November,23,5,Thursday,47,FALSE,TRUE
20231201,2023-12-01,2023,4,12,December,1,6,Friday,48,FALSE,FALSE
20231215,2023-12-15,2023,4,12,December,15,6,Friday,50,FALSE,FALSE
20231225,2023-12-25,2023,4,12,December,25,2,Monday,52,FALSE,TRUE
20231231,2023-12-31,2023,4,12,December,31,1,Sunday,52,TRUE,FALSE
20240101,2024-01-01,2024,1,1,January,1,2,Monday,1,FALSE,TRUE
20240102,2024-01-02,2024,1,1,January,2,3,Tuesday,1,FALSE,FALSE
20240103,2024-01-03,2024,1,1,January,3,4,Wednesday,1,FALSE,FALSE
20240104,2024-01-04,2024,1,1,January,4,5,Thursday,1,FALSE,FALSE
20240105,2024-01-05,2024,1,1,January,5,6,Friday,1,FALSE,FALSE
20240106,2024-01-06,2024,1,1,January,6,7,Saturday,1,TRUE,FALSE
20240107,2024-01-07,2024,1,1,January,7,1,Sunday,1,TRUE,FALSE
20240115,2024-01-15,2024,1,1,January,15,2,Monday,3,FALSE,FALSE
20240201,2024-02-01,2024,1,2,February,1,5,Thursday,5,FALSE,FALSE
20240214,2024-02-14,2024,1,2,February,14,4,Wednesday,7,FALSE,TRUE
20240301,2024-03-01,2024,1,3,March,1,6,Friday,9,FALSE,FALSE
20240315,2024-03-15,2024,1,3,March,15,6,Friday,11,FALSE,FALSE
20240401,2024-04-01,2024,2,4,April,1,2,Monday,14,FALSE,FALSE
20240415,2024-04-15,2024,2,4,April,15,2,Monday,16,FALSE,FALSE
20240501,2024-05-01,2024,2,5,May,1,4,Wednesday,18,FALSE,TRUE
20240515,2024-05-15,2024,2,5,May,15,4,Wednesday,20,FALSE,FALSE
20240601,2024-06-01,2024,2,6,June,1,7,Saturday,22,TRUE,FALSE
20240615,2024-06-15,2024,2,6,June,15,7,Saturday,24,TRUE,FALSE
20240701,2024-07-01,2024,3,7,July,1,2,Monday,27,FALSE,FALSE
20240704,2024-07-04,2024,3,7,July,4,5,Thursday,27,FALSE,TRUE
20240715,2024-07-15,2024,3,7,July,15,2,Monday,29,FALSE,FALSE
20240801,2024-08-01,2024,3,8,August,1,5,Thursday,31,FALSE,FALSE
20240815,2024-08-15,2024,3,8,August,15,5,Thursday,33,FALSE,FALSE
20240901,2024-09-01,2024,3,9,September,1,1,Sunday,35,TRUE,FALSE
20240915,2024-09-15,2024,3,9,September,15,1,Sunday,37,TRUE,FALSE
20241001,2024-10-01,2024,4,10,October,1,3,Tuesday,40,FALSE,FALSE
20241015,2024-10-15,2024,4,10,October,15,3,Tuesday,42,FALSE,FALSE
20241031,2024-10-31,2024,4,10,October,31,5,Thursday,44,FALSE,TRUE
20241101,2024-11-01,2024,4,11,November,1,6,Friday,44,FALSE,FALSE
20241115,2024-11-15,2024,4,11,November,15,6,Friday,46,FALSE,FALSE
20241128,2024-11-28,2024,4,11,November,28,5,Thursday,48,FALSE,TRUE
20241201,2024-12-01,2024,4,12,December,1,1,Sunday,48,TRUE,FALSE
20241215,2024-12-15,2024,4,12,December,15,1,Sunday,50,TRUE,FALSE
20241225,2024-12-25,2024,4,12,December,25,4,Wednesday,52,FALSE,TRUE
20241231,2024-12-31,2024,4,12,December,31,3,Tuesday,1,FALSE,FALSE
