product_key,product_id,product_name,category,subcategory,brand,unit_price,unit_cost
1,P001,Laptop Pro 15,Electronics,Computers,TechBrand,1299.99,850.00
2,P002,Wireless Mouse,Electronics,Accessories,TechBrand,29.99,12.00
3,P003,USB-C Cable,Electronics,Accessories,TechBrand,19.99,5.00
4,P004,Monitor 27 inch,Electronics,Displays,ViewMax,399.99,250.00
5,P005,Mechanical Keyboard,Electronics,Accessories,TechBrand,89.99,40.00
6,P006,Office Chair Deluxe,Furniture,Office,ComfortSeats,249.99,120.00
7,P007,Standing Desk,Furniture,Office,ComfortSeats,499.99,280.00
8,P008,Desk Lamp LED,Furniture,Lighting,BrightLights,49.99,20.00
9,P009,Notebook A4,Office Supplies,Stationery,PaperCo,4.99,1.50
10,P010,Pen Set Blue,Office Supplies,Stationery,PaperCo,9.99,3.00
11,P011,Smartphone X12,Electronics,Mobile,PhoneTech,899.99,550.00
12,P012,Phone Case Leather,Electronics,Accessories,PhoneTech,39.99,15.00
13,P013,Headphones Wireless,Electronics,Audio,SoundWave,149.99,70.00
14,P014,Tablet 10 inch,Electronics,Mobile,TechBrand,449.99,280.00
15,P015,Coffee Maker Pro,Appliances,Kitchen,HomePlus,79.99,40.00
16,P016,Blender 1000W,Appliances,Kitchen,HomePlus,59.99,30.00
17,P017,Toaster 2-Slice,Appliances,Kitchen,HomePlus,29.99,15.00
18,P018,Water Bottle Steel,Sports,Accessories,FitLife,24.99,10.00
19,P019,Yoga Mat Premium,Sports,Fitness,FitLife,49.99,20.00
20,P020,Dumbbell Set 20kg,Sports,Fitness,FitLife,89.99,45.00
21,P021,Running Shoes Men,Sports,Footwear,SportWear,119.99,60.00
22,P022,Sports Backpack,Sports,Accessories,SportWear,69.99,30.00
23,P023,T-Shirt Cotton,Clothing,Casual,FashionHub,19.99,8.00
24,P024,Jeans Classic Blue,Clothing,Casual,FashionHub,59.99,25.00
25,P025,Winter Jacket,Clothing,Outerwear,FashionHub,149.99,70.00
26,P026,Sneakers White,Clothing,Footwear,FashionHub,79.99,35.00
27,P027,Backpack School,Bags,Backpacks,TravelGear,49.99,20.00
28,P028,Messenger Bag Leather,Bags,Professional,TravelGear,89.99,40.00
29,P029,Suitcase 24 inch,Bags,Luggage,TravelGear,129.99,60.00
30,P030,Travel Pillow,Bags,Accessories,TravelGear,19.99,8.00
31,P031,Smart Watch Sport,Electronics,Wearables,TechBrand,299.99,180.00
32,P032,Fitness Tracker,Electronics,Wearables,FitLife,79.99,40.00
33,P033,Webcam HD 1080p,Electronics,Accessories,ViewMax,69.99,30.00
34,P034,Microphone USB,Electronics,Audio,SoundWave,89.99,45.00
35,P035,Speaker Bluetooth,Electronics,Audio,SoundWave,59.99,25.00
36,P036,Power Bank 20000mAh,Electronics,Accessories,TechBrand,49.99,20.00
37,P037,Phone Charger Fast,Electronics,Accessories,PhoneTech,29.99,10.00
38,P038,HDMI Cable 2m,Electronics,Accessories,TechBrand,14.99,5.00
39,P039,Router WiFi 6,Electronics,Networking,NetConnect,149.99,80.00
40,P040,Ethernet Cable 5m,Electronics,Networking,NetConnect,12.99,4.00
41,P041,External SSD 1TB,Electronics,Storage,TechBrand,129.99,70.00
42,P042,USB Flash Drive 64GB,Electronics,Storage,TechBrand,19.99,8.00
43,P043,Memory Card 128GB,Electronics,Storage,TechBrand,34.99,15.00
44,P044,Printer Wireless,Electronics,Office,PrintMaster,199.99,120.00
45,P045,Scanner Portable,Electronics,Office,PrintMaster,149.99,80.00
46,P046,Paper A4 Ream,Office Supplies,Paper,PaperCo,7.99,3.00
47,P047,Stapler Heavy Duty,Office Supplies,Tools,PaperCo,14.99,6.00
48,P048,Calculator Scientific,Office Supplies,Tools,CalcTech,24.99,10.00
49,P049,Desk Organizer,Office Supplies,Organization,PaperCo,19.99,8.00
50,P050,Whiteboard Magnetic,Office Supplies,Boards,PaperCo,79.99,35.00

